patient,n_test_images,accuracy,balanced_accuracy,confidence
1,491,0.8676,0.7878,0.8500
2,302,0.9106,0.8846,0.9200
3,172,0.7326,0.8028,0.7800
4,234,0.7564,0.7971,0.8100
5,175,0.8457,0.8203,0.8600
6,122,0.8770,0.8594,0.8900
7,28,1.0000,1.0000,1.0000
8,57,0.8596,0.9111,0.9000
9,9,0.7778,0.7778,0.8200
10,51,1.0000,1.0000,1.0000
11,46,1.0000,1.0000,1.0000
12,19,1.0000,1.0000,1.0000
13,3,1.0000,1.0000,1.0000
14,4,0.7500,0.7500,0.8500
